feature_code,date_code,date_start,date_end,measurement,units,value,currently_smokes_cigarettes,type_of_tenure,household_type,gender,limiting_long_term_physical_or_mental_health_condition,age,date_diff,council_area
S12000005,2013,2013,NA,Percent,Percent Of Adults,75.8,No,All,All,Male,All,All,NA,Clackmannanshire
S12000019,2013,2013,NA,Percent,Percent Of Adults,80.9,No,All,All,Male,All,All,NA,Midlothian
S12000050,2013,2013,NA,Percent,Percent Of Adults,71.6,No,All,All,Male,All,All,NA,North Lanarkshire
S12000048,2013,2013,NA,Percent,Percent Of Adults,15.1,Yes,All,All,Female,All,All,NA,Perth and Kinross
S12000023,2013,2013,NA,Percent,Percent Of Adults,18.4,Yes,All,All,Female,All,All,NA,Orkney Islands
S12000008,2013,2013,NA,Percent,Percent Of Adults,24,Yes,All,All,Male,All,All,NA,East Ayrshire
S12000008,2013,2013,NA,Percent,Percent Of Adults,76,No,All,All,Male,All,All,NA,East Ayrshire
S12000041,2013,2013,NA,Percent,Percent Of Adults,77.7,No,All,All,Male,All,All,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,77.7,No,All,All,Male,All,All,NA,Angus
S12000027,2013,2013,NA,Percent,Percent Of Adults,78.2,No,All,All,Male,All,All,NA,Shetland Islands
S12000045,2013,2013,NA,Percent,Percent Of Adults,83.5,No,All,All,Male,All,All,NA,East Dunbartonshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,83.5,No,All,All,Male,All,All,NA,East Dunbartonshire
S12000026,2013,2013,NA,Percent,Percent Of Adults,79,No,All,All,Male,All,All,NA,Scottish Borders
S12000029,2013,2013,NA,Percent,Percent Of Adults,77.6,No,All,All,Male,All,All,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,77.6,No,All,All,Male,All,All,NA,South Lanarkshire
S12000030,2013,2013,NA,Percent,Percent Of Adults,80.4,No,All,All,Male,All,All,NA,Stirling
S12000033,2013,2013,NA,Percent,Percent Of Adults,69.3,No,All,All,Male,All,All,NA,Aberdeen City
S12000023,2013,2013,NA,Percent,Percent Of Adults,21.6,Yes,All,All,Male,All,All,NA,Orkney Islands
S12000018,2013,2013,NA,Percent,Percent Of Adults,26.3,Yes,All,All,Male,All,All,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,26.3,Yes,All,All,Male,All,All,NA,Inverclyde
S12000034,2013,2013,NA,Percent,Percent Of Adults,77.6,No,All,All,Male,All,All,NA,Aberdeenshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,15.1,Yes,All,All,Male,All,All,NA,East Dunbartonshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,15.1,Yes,All,All,Male,All,All,NA,East Dunbartonshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,22.4,Yes,All,All,Male,All,All,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,22.4,Yes,All,All,Male,All,All,NA,South Lanarkshire
S12000048,2013,2013,NA,Percent,Percent Of Adults,25.2,Yes,All,All,Male,All,All,NA,Perth and Kinross
S12000041,2013,2013,NA,Percent,Percent Of Adults,22.3,Yes,All,All,Male,All,All,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,22.3,Yes,All,All,Male,All,All,NA,Angus
S12000019,2013,2013,NA,Percent,Percent Of Adults,19.1,Yes,All,All,Male,All,All,NA,Midlothian
S12000021,2013,2013,NA,Percent,Percent Of Adults,72.2,No,All,All,Male,All,All,NA,North Ayrshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,89.9,No,All,All,Male,All,All,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,89.9,No,All,All,Male,All,All,NA,East Renfrewshire
S12000040,2013,2013,NA,Percent,Percent Of Adults,81.3,No,All,All,Male,All,All,NA,West Lothian
S12000014,2013,2013,NA,Percent,Percent Of Adults,76,No,All,All,Male,All,All,NA,Falkirk
S12000042,2013,2013,NA,Percent,Percent Of Adults,73.4,No,All,All,Male,All,All,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,73.4,No,All,All,Male,All,All,NA,Dundee City
S12000017,2013,2013,NA,Percent,Percent Of Adults,82.4,No,All,All,Male,All,All,NA,Highland
S12000035,2013,2013,NA,Percent,Percent Of Adults,69.5,No,All,All,Male,All,All,NA,Argyll and Bute
S12000021,2013,2013,NA,Percent,Percent Of Adults,26.2,Yes,All,All,Male,All,All,NA,North Ayrshire
S12000036,2013,2013,NA,Percent,Percent Of Adults,77.9,No,All,All,Male,All,All,NA,City of Edinburgh
S12000013,2013,2013,NA,Percent,Percent Of Adults,72.6,No,All,All,Male,All,All,NA,Na h-Eileanan Siar
S12000017,2013,2013,NA,Percent,Percent Of Adults,17.2,Yes,All,All,Male,All,All,NA,Highland
S12000033,2013,2013,NA,Percent,Percent Of Adults,30.5,Yes,All,All,Male,All,All,NA,Aberdeen City
S12000027,2013,2013,NA,Percent,Percent Of Adults,21.8,Yes,All,All,Male,All,All,NA,Shetland Islands
S12000050,2013,2013,NA,Percent,Percent Of Adults,28.4,Yes,All,All,Male,All,All,NA,North Lanarkshire
S12000047,2013,2013,NA,Percent,Percent Of Adults,25.3,Yes,All,All,Male,All,All,NA,Fife
S12000036,2013,2013,NA,Percent,Percent Of Adults,21.8,Yes,All,All,Male,All,All,NA,City of Edinburgh
S12000005,2013,2013,NA,Percent,Percent Of Adults,24.2,Yes,All,All,Male,All,All,NA,Clackmannanshire
S12000014,2013,2013,NA,Percent,Percent Of Adults,23.7,Yes,All,All,Male,All,All,NA,Falkirk
S12000010,2013,2013,NA,Percent,Percent Of Adults,80.4,No,All,All,Male,All,All,NA,East Lothian
S12000010,2013,2013,NA,Percent,Percent Of Adults,19.6,Yes,All,All,Male,All,All,NA,East Lothian
S12000030,2013,2013,NA,Percent,Percent Of Adults,19.7,Yes,All,All,Male,All,All,NA,Stirling
S12000026,2013,2013,NA,Percent,Percent Of Adults,20,Yes,All,All,Male,All,All,NA,Scottish Borders
S12000040,2013,2013,NA,Percent,Percent Of Adults,18.8,Yes,All,All,Male,All,All,NA,West Lothian
S12000013,2013,2013,NA,Percent,Percent Of Adults,27.4,Yes,All,All,Male,All,All,NA,Na h-Eileanan Siar
S12000038,2013,2013,NA,Percent,Percent Of Adults,76.1,No,All,All,Male,All,All,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,76.1,No,All,All,Male,All,All,NA,Renfrewshire
S12000020,2013,2013,NA,Percent,Percent Of Adults,73.4,No,All,All,Male,All,All,NA,Moray
S12000038,2013,2013,NA,Percent,Percent Of Adults,23.9,Yes,All,All,Male,All,All,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,23.9,Yes,All,All,Male,All,All,NA,Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,10.2,Yes,All,All,Male,All,All,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,10.2,Yes,All,All,Male,All,All,NA,East Renfrewshire
S12000008,2013,2013,NA,Percent,Percent Of Adults,23.5,Yes,All,All,Female,All,All,NA,East Ayrshire
S12000050,2013,2013,NA,Percent,Percent Of Adults,27.7,Yes,All,All,Female,All,All,NA,North Lanarkshire
S12000019,2013,2013,NA,Percent,Percent Of Adults,80.3,No,All,All,Female,All,All,NA,Midlothian
S12000005,2013,2013,NA,Percent,Percent Of Adults,18.2,Yes,All,All,Female,All,All,NA,Clackmannanshire
S12000049,2013,2013,NA,Percent,Percent Of Adults,74.5,No,All,All,Female,All,All,NA,Glasgow City
S12000011,2013,2013,NA,Percent,Percent Of Adults,84,No,All,All,Female,All,All,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,84,No,All,All,Female,All,All,NA,East Renfrewshire
S12000017,2013,2013,NA,Percent,Percent Of Adults,84.6,No,All,All,Female,All,All,NA,Highland
S12000036,2013,2013,NA,Percent,Percent Of Adults,83.5,No,All,All,Female,All,All,NA,City of Edinburgh
S12000014,2013,2013,NA,Percent,Percent Of Adults,79,No,All,All,Female,All,All,NA,Falkirk
S12000045,2013,2013,NA,Percent,Percent Of Adults,89.8,No,All,All,Female,All,All,NA,East Dunbartonshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,89.8,No,All,All,Female,All,All,NA,East Dunbartonshire
S12000041,2013,2013,NA,Percent,Percent Of Adults,79.7,No,All,All,Female,All,All,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,79.7,No,All,All,Female,All,All,NA,Angus
S12000023,2013,2013,NA,Percent,Percent Of Adults,24,Yes,All,All,All,All,16-64 years,NA,Orkney Islands
S12000045,2013,2013,NA,Percent,Percent Of Adults,9.4,Yes,All,All,Female,All,All,NA,East Dunbartonshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,9.4,Yes,All,All,Female,All,All,NA,East Dunbartonshire
S12000013,2013,2013,NA,Percent,Percent Of Adults,16.4,Yes,All,All,Female,All,All,NA,Na h-Eileanan Siar
S12000039,2013,2013,NA,Percent,Percent Of Adults,21,Yes,All,All,Female,All,All,NA,West Dunbartonshire
S12000039,2013,2013,NA,Percent,Percent Of Adults,21,Yes,All,All,Female,All,All,NA,West Dunbartonshire
S12000034,2013,2013,NA,Percent,Percent Of Adults,19.6,Yes,All,All,Female,All,All,NA,Aberdeenshire
S12000030,2013,2013,NA,Percent,Percent Of Adults,17.5,Yes,All,All,Female,All,All,NA,Stirling
S12000033,2013,2013,NA,Percent,Percent Of Adults,18.3,Yes,All,All,Female,All,All,NA,Aberdeen City
S12000019,2013,2013,NA,Percent,Percent Of Adults,19.7,Yes,All,All,Female,All,All,NA,Midlothian
S12000049,2013,2013,NA,Percent,Percent Of Adults,25.4,Yes,All,All,Female,All,All,NA,Glasgow City
S12000033,2013,2013,NA,Percent,Percent Of Adults,81.7,No,All,All,Female,All,All,NA,Aberdeen City
S12000041,2013,2013,NA,Percent,Percent Of Adults,20.3,Yes,All,All,Female,All,All,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,20.3,Yes,All,All,Female,All,All,NA,Angus
S12000018,2013,2013,NA,Percent,Percent Of Adults,23.7,Yes,All,All,Female,All,All,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,23.7,Yes,All,All,Female,All,All,NA,Inverclyde
S12000029,2013,2013,NA,Percent,Percent Of Adults,23.4,Yes,All,All,Female,All,All,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,23.4,Yes,All,All,Female,All,All,NA,South Lanarkshire
S12000028,2013,2013,NA,Percent,Percent Of Adults,19.2,Yes,All,All,Female,All,All,NA,South Ayrshire
S12000026,2013,2013,NA,Percent,Percent Of Adults,17.7,Yes,All,All,Female,All,All,NA,Scottish Borders
S12000013,2013,2013,NA,Percent,Percent Of Adults,83.5,No,All,All,Female,All,All,NA,Na h-Eileanan Siar
S12000047,2013,2013,NA,Percent,Percent Of Adults,79.2,No,All,All,Female,All,All,NA,Fife
S12000047,2013,2013,NA,Percent,Percent Of Adults,20.7,Yes,All,All,Female,All,All,NA,Fife
S12000027,2013,2013,NA,Percent,Percent Of Adults,15.6,Yes,All,All,Female,All,All,NA,Shetland Islands
S12000017,2013,2013,NA,Percent,Percent Of Adults,15.4,Yes,All,All,Female,All,All,NA,Highland
S12000021,2013,2013,NA,Percent,Percent Of Adults,27,Yes,All,All,Female,All,All,NA,North Ayrshire
S12000018,2013,2013,NA,Percent,Percent Of Adults,76.3,No,All,All,Female,All,All,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,76.3,No,All,All,Female,All,All,NA,Inverclyde
S12000039,2013,2013,NA,Percent,Percent Of Adults,79,No,All,All,Female,All,All,NA,West Dunbartonshire
S12000039,2013,2013,NA,Percent,Percent Of Adults,79,No,All,All,Female,All,All,NA,West Dunbartonshire
S12000021,2013,2013,NA,Percent,Percent Of Adults,73,No,All,All,Female,All,All,NA,North Ayrshire
S12000020,2013,2013,NA,Percent,Percent Of Adults,80.7,No,All,All,Female,All,All,NA,Moray
S12000006,2013,2013,NA,Percent,Percent Of Adults,15.5,Yes,All,All,Female,All,All,NA,Dumfries and Galloway
S12000010,2013,2013,NA,Percent,Percent Of Adults,22.1,Yes,All,All,Female,All,All,NA,East Lothian
S12000040,2013,2013,NA,Percent,Percent Of Adults,78,No,All,All,Female,All,All,NA,West Lothian
S12000042,2013,2013,NA,Percent,Percent Of Adults,78.9,No,All,All,Female,All,All,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,78.9,No,All,All,Female,All,All,NA,Dundee City
S12000034,2013,2013,NA,Percent,Percent Of Adults,80.3,No,All,All,Female,All,All,NA,Aberdeenshire
S12000026,2013,2013,NA,Percent,Percent Of Adults,81.9,No,All,All,Female,All,All,NA,Scottish Borders
S12000042,2013,2013,NA,Percent,Percent Of Adults,21.1,Yes,All,All,Female,All,All,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,21.1,Yes,All,All,Female,All,All,NA,Dundee City
S12000050,2013,2013,NA,Percent,Percent Of Adults,72.1,No,All,All,Female,All,All,NA,North Lanarkshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,77.9,No,All,All,Female,All,All,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,77.9,No,All,All,Female,All,All,NA,Renfrewshire
S12000020,2013,2013,NA,Percent,Percent Of Adults,19.3,Yes,All,All,Female,All,All,NA,Moray
S12000035,2013,2013,NA,Percent,Percent Of Adults,22.2,Yes,All,All,Female,All,All,NA,Argyll and Bute
S12000040,2013,2013,NA,Percent,Percent Of Adults,22,Yes,All,All,Female,All,All,NA,West Lothian
S12000036,2013,2013,NA,Percent,Percent Of Adults,16.5,Yes,All,All,Female,All,All,NA,City of Edinburgh
S12000035,2013,2013,NA,Percent,Percent Of Adults,77.8,No,All,All,Female,All,All,NA,Argyll and Bute
S12000048,2013,2013,NA,Percent,Percent Of Adults,83.9,No,All,All,Female,All,All,NA,Perth and Kinross
S12000006,2013,2013,NA,Percent,Percent Of Adults,84.5,No,All,All,Female,All,All,NA,Dumfries and Galloway
S12000030,2013,2013,NA,Percent,Percent Of Adults,82.5,No,All,All,Female,All,All,NA,Stirling
S12000038,2013,2013,NA,Percent,Percent Of Adults,22.1,Yes,All,All,Female,All,All,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,22.1,Yes,All,All,Female,All,All,NA,Renfrewshire
S12000008,2013,2013,NA,Percent,Percent Of Adults,75.7,No,All,All,Female,All,All,NA,East Ayrshire
S12000005,2013,2013,NA,Percent,Percent Of Adults,81.8,No,All,All,Female,All,All,NA,Clackmannanshire
S12000010,2013,2013,NA,Percent,Percent Of Adults,77.9,No,All,All,Female,All,All,NA,East Lothian
S12000023,2013,2013,NA,Percent,Percent Of Adults,81.6,No,All,All,Female,All,All,NA,Orkney Islands
S12000011,2013,2013,NA,Percent,Percent Of Adults,16,Yes,All,All,Female,All,All,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,16,Yes,All,All,Female,All,All,NA,East Renfrewshire
S12000028,2013,2013,NA,Percent,Percent Of Adults,80.8,No,All,All,Female,All,All,NA,South Ayrshire
S12000027,2013,2013,NA,Percent,Percent Of Adults,84.4,No,All,All,Female,All,All,NA,Shetland Islands
S12000039,2013,2013,NA,Percent,Percent Of Adults,26.9,Yes,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000039,2013,2013,NA,Percent,Percent Of Adults,26.9,Yes,All,All,All,All,16-64 years,NA,West Dunbartonshire
S12000019,2013,2013,NA,Percent,Percent Of Adults,25.2,Yes,All,All,All,All,16-34 years,NA,Midlothian
S12000018,2013,2013,NA,Percent,Percent Of Adults,25.2,Yes,All,All,All,All,16-34 years,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,25.2,Yes,All,All,All,All,16-34 years,NA,Inverclyde
S12000047,2013,2013,NA,Percent,Percent Of Adults,26.9,Yes,All,All,All,All,16-64 years,NA,Fife
S12000036,2013,2013,NA,Percent,Percent Of Adults,20.6,Yes,All,All,All,All,16-64 years,NA,City of Edinburgh
S12000017,2013,2013,NA,Percent,Percent Of Adults,17.7,Yes,All,All,All,All,16-64 years,NA,Highland
S12000050,2013,2013,NA,Percent,Percent Of Adults,29.1,Yes,All,All,All,All,16-64 years,NA,North Lanarkshire
S12000006,2013,2013,NA,Percent,Percent Of Adults,19,Yes,All,All,All,All,All,NA,Dumfries and Galloway
S12000041,2013,2013,NA,Percent,Percent Of Adults,24.7,Yes,All,All,All,All,16-64 years,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,24.7,Yes,All,All,All,All,16-64 years,NA,Angus
S12000042,2013,2013,NA,Percent,Percent Of Adults,25.4,Yes,All,All,All,All,16-64 years,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,25.4,Yes,All,All,All,All,16-64 years,NA,Dundee City
S12000029,2013,2013,NA,Percent,Percent Of Adults,25.7,Yes,All,All,All,All,16-64 years,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,25.7,Yes,All,All,All,All,16-64 years,NA,South Lanarkshire
S12000042,2013,2013,NA,Percent,Percent Of Adults,17.4,Yes,All,All,All,All,65 years and over,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,17.4,Yes,All,All,All,All,65 years and over,NA,Dundee City
S12000011,2013,2013,NA,Percent,Percent Of Adults,4.6,Yes,All,All,All,All,65 years and over,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,4.6,Yes,All,All,All,All,65 years and over,NA,East Renfrewshire
S12000041,2013,2013,NA,Percent,Percent Of Adults,11,Yes,All,All,All,All,65 years and over,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,11,Yes,All,All,All,All,65 years and over,NA,Angus
S12000048,2013,2013,NA,Percent,Percent Of Adults,9.1,Yes,All,All,All,All,65 years and over,NA,Perth and Kinross
S12000030,2013,2013,NA,Percent,Percent Of Adults,8.3,Yes,All,All,All,All,65 years and over,NA,Stirling
S12000045,2013,2013,NA,Percent,Percent Of Adults,3.3,Yes,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000045,2013,2013,NA,Percent,Percent Of Adults,3.3,Yes,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000034,2013,2013,NA,Percent,Percent Of Adults,10.4,Yes,All,All,All,All,65 years and over,NA,Aberdeenshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,24.2,Yes,All,All,All,All,16-34 years,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,24.2,Yes,All,All,All,All,16-34 years,NA,Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,13.4,Yes,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,13.4,Yes,All,All,All,All,16-34 years,NA,East Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,16.7,Yes,All,All,All,All,65 years and over,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,16.7,Yes,All,All,All,All,65 years and over,NA,Renfrewshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,12.5,Yes,All,All,All,All,65 years and over,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,12.5,Yes,All,All,All,All,65 years and over,NA,South Lanarkshire
S12000018,2013,2013,NA,Percent,Percent Of Adults,17.2,Yes,All,All,All,All,65 years and over,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,17.2,Yes,All,All,All,All,65 years and over,NA,Inverclyde
S12000019,2013,2013,NA,Percent,Percent Of Adults,6.8,Yes,All,All,All,All,65 years and over,NA,Midlothian
S12000035,2013,2013,NA,Percent,Percent Of Adults,10.5,Yes,All,All,All,All,65 years and over,NA,Argyll and Bute
S12000023,2013,2013,NA,Percent,Percent Of Adults,42.8,Yes,All,All,All,All,16-34 years,NA,Orkney Islands
S12000033,2013,2013,NA,Percent,Percent Of Adults,28.5,Yes,All,All,All,All,16-34 years,NA,Aberdeen City
S12000006,2013,2013,NA,Percent,Percent Of Adults,10.1,Yes,All,All,All,All,65 years and over,NA,Dumfries and Galloway
S12000050,2013,2013,NA,Percent,Percent Of Adults,28,Yes,All,All,All,All,All,NA,North Lanarkshire
S12000034,2013,2013,NA,Percent,Percent Of Adults,25.1,Yes,All,All,All,All,16-34 years,NA,Aberdeenshire
S12000040,2013,2013,NA,Percent,Percent Of Adults,16.6,Yes,All,All,All,All,65 years and over,NA,West Lothian
S12000029,2013,2013,NA,Percent,Percent Of Adults,25.7,Yes,All,All,All,All,35-64 years,NA,South Lanarkshire
S12000029,2013,2013,NA,Percent,Percent Of Adults,25.7,Yes,All,All,All,All,35-64 years,NA,South Lanarkshire
S12000014,2013,2013,NA,Percent,Percent Of Adults,13.5,Yes,All,All,All,All,65 years and over,NA,Falkirk
S12000047,2013,2013,NA,Percent,Percent Of Adults,8.9,Yes,All,All,All,All,65 years and over,NA,Fife
S12000041,2013,2013,NA,Percent,Percent Of Adults,21.9,Yes,All,All,All,All,35-64 years,NA,Angus
S12000041,2013,2013,NA,Percent,Percent Of Adults,21.9,Yes,All,All,All,All,35-64 years,NA,Angus
S12000011,2013,2013,NA,Percent,Percent Of Adults,17,Yes,All,All,All,All,35-64 years,NA,East Renfrewshire
S12000011,2013,2013,NA,Percent,Percent Of Adults,17,Yes,All,All,All,All,35-64 years,NA,East Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,24.9,Yes,All,All,All,All,35-64 years,NA,Renfrewshire
S12000038,2013,2013,NA,Percent,Percent Of Adults,24.9,Yes,All,All,All,All,35-64 years,NA,Renfrewshire
S12000034,2013,2013,NA,Percent,Percent Of Adults,22.9,Yes,All,All,All,All,35-64 years,NA,Aberdeenshire
S12000017,2013,2013,NA,Percent,Percent Of Adults,11.4,Yes,All,All,All,All,65 years and over,NA,Highland
S12000005,2013,2013,NA,Percent,Percent Of Adults,9.3,Yes,All,All,All,All,65 years and over,NA,Clackmannanshire
S12000008,2013,2013,NA,Percent,Percent Of Adults,18.1,Yes,All,All,All,All,65 years and over,NA,East Ayrshire
S12000020,2013,2013,NA,Percent,Percent Of Adults,13.9,Yes,All,All,All,All,65 years and over,NA,Moray
S12000036,2013,2013,NA,Percent,Percent Of Adults,11.9,Yes,All,All,All,All,65 years and over,NA,City of Edinburgh
S12000026,2013,2013,NA,Percent,Percent Of Adults,6.5,Yes,All,All,All,All,65 years and over,NA,Scottish Borders
S12000023,2013,2013,NA,Percent,Percent Of Adults,7.7,Yes,All,All,All,All,65 years and over,NA,Orkney Islands
S12000020,2013,2013,NA,Percent,Percent Of Adults,23.7,Yes,All,All,All,All,35-64 years,NA,Moray
S12000049,2013,2013,NA,Percent,Percent Of Adults,34,Yes,All,All,All,All,35-64 years,NA,Glasgow City
S12000014,2013,2013,NA,Percent,Percent Of Adults,24.3,Yes,All,All,All,All,35-64 years,NA,Falkirk
S12000040,2013,2013,NA,Percent,Percent Of Adults,21.3,Yes,All,All,All,All,16-64 years,NA,West Lothian
S12000018,2013,2013,NA,Percent,Percent Of Adults,28.2,Yes,All,All,All,All,35-64 years,NA,Inverclyde
S12000018,2013,2013,NA,Percent,Percent Of Adults,28.2,Yes,All,All,All,All,35-64 years,NA,Inverclyde
S12000047,2013,2013,NA,Percent,Percent Of Adults,27,Yes,All,All,All,All,35-64 years,NA,Fife
S12000042,2013,2013,NA,Percent,Percent Of Adults,27.3,Yes,All,All,All,All,35-64 years,NA,Dundee City
S12000042,2013,2013,NA,Percent,Percent Of Adults,27.3,Yes,All,All,All,All,35-64 years,NA,Dundee City
S12000036,2013,2013,NA,Percent,Percent Of Adults,20.8,Yes,All,All,All,All,35-64 years,NA,City of Edinburgh
S12000017,2013,2013,NA,Percent,Percent Of Adults,16.7,Yes,All,All,All,All,35-64 years,NA,Highland
S12000040,2013,2013,NA,Percent,Percent Of Adults,22.4,Yes,All,All,All,All,35-64 years,NA,West Lothian
S12000019,2013,2013,NA,Percent,Percent Of Adults,21.7,Yes,All,All,All,All,35-64 years,NA,Midlothian
S12000030,2013,2013,NA,Percent,Percent Of Adults,20.3,Yes,All,All,All,All,35-64 years,NA,Stirling
S12000010,2013,2013,NA,Percent,Percent Of Adults,23.7,Yes,All,All,All,All,35-64 years,NA,East Lothian
S12000033,2013,2013,NA,Percent,Percent Of Adults,9.9,Yes,All,All,All,All,65 years and over,NA,Aberdeen City
S12000021,2013,2013,NA,Percent,Percent Of Adults,27.8,Yes,All,All,All,All,35-64 years,NA,North Ayrshire
S12000050,2014,2014,NA,Percent,Percent Of Adults,76.6,No,All,All,All,All,All,NA,North Lanarkshire
S12000013,2014,2014,NA,Percent,Percent Of Adults,73.9,No,All,All,All,All,All,NA,Na h-Eileanan Siar
S12000028,2014,2014,NA,Percent,Percent Of Adults,80.8,No,All,All,All,All,All,NA,South Ayrshire
S12000006,2014,2014,NA,Percent,Percent Of Adults,75.8,No,All,All,All,All,All,NA,Dumfries and Galloway
S12000049,2014,2014,NA,Percent,Percent Of Adults,73.8,No,All,All,All,All,All,NA,Glasgow City
S12000036,2014,2014,NA,Percent,Percent Of Adults,81.7,No,All,All,All,All,16-34 years,NA,City of Edinburgh
S12000008,2014,2014,NA,Percent,Percent Of Adults,75.5,No,All,All,All,All,All,NA,East Ayrshire
S12000030,2014,2014,NA,Percent,Percent Of Adults,82.6,No,All,All,All,All,All,NA,Stirling
S12000019,2014,2014,NA,Percent,Percent Of Adults,77,No,All,All,All,All,All,NA,Midlothian
S12000021,2014,2014,NA,Percent,Percent Of Adults,77.1,No,All,All,All,All,All,NA,North Ayrshire
S12000020,2014,2014,NA,Percent,Percent Of Adults,79.9,No,All,All,All,All,All,NA,Moray
S12000005,2014,2014,NA,Percent,Percent Of Adults,67.9,No,All,All,All,All,All,NA,Clackmannanshire
S12000042,2014,2014,NA,Percent,Percent Of Adults,73,No,All,All,All,All,All,NA,Dundee City
S12000042,2014,2014,NA,Percent,Percent Of Adults,73,No,All,All,All,All,All,NA,Dundee City
S12000014,2014,2014,NA,Percent,Percent Of Adults,87.8,No,All,All,All,All,65 years and over,NA,Falkirk
S12000039,2014,2014,NA,Percent,Percent Of Adults,85.5,No,All,All,All,All,65 years and over,NA,West Dunbartonshire
S12000039,2014,2014,NA,Percent,Percent Of Adults,85.5,No,All,All,All,All,65 years and over,NA,West Dunbartonshire
S12000045,2014,2014,NA,Percent,Percent Of Adults,92.7,No,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000045,2014,2014,NA,Percent,Percent Of Adults,92.7,No,All,All,All,All,65 years and over,NA,East Dunbartonshire
S12000045,2014,2014,NA,Percent,Percent Of Adults,94.1,No,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000045,2014,2014,NA,Percent,Percent Of Adults,94.1,No,All,All,All,All,16-34 years,NA,East Dunbartonshire
S12000040,2014,2014,NA,Percent,Percent Of Adults,70.6,No,All,All,All,All,16-34 years,NA,West Lothian
S12000038,2014,2014,NA,Percent,Percent Of Adults,78.6,No,All,All,All,All,All,NA,Renfrewshire
S12000038,2014,2014,NA,Percent,Percent Of Adults,78.6,No,All,All,All,All,All,NA,Renfrewshire
S12000011,2014,2014,NA,Percent,Percent Of Adults,82.3,No,All,All,All,All,All,NA,East Renfrewshire
S12000011,2014,2014,NA,Percent,Percent Of Adults,82.3,No,All,All,All,All,All,NA,East Renfrewshire
S12000017,2014,2014,NA,Percent,Percent Of Adults,79.2,No,All,All,All,All,All,NA,Highland
S12000040,2014,2014,NA,Percent,Percent Of Adults,78.7,No,All,All,All,All,All,NA,West Lothian
