feature_code,date_code,measurement,units,value,sex,age,simd_quintiles,urban_rural_classification
S08000032,2010-2012,Count,Years,76.95,Male,0 years,All,All
S08000032,2010-2012,95% Upper Confidence Limit,Years,77.24,Male,0 years,All,All
S08000032,2010-2012,95% Lower Confidence Limit,Years,80.75,Female,0 years,All,All
S08000032,2010-2012,95% Lower Confidence Limit,Years,76.67,Male,0 years,All,All
S08000032,2010-2012,Count,Years,81,Female,0 years,All,All
S12000049,2010-2012,Count,Years,78.47,Female,0 years,All,All
S12000049,2010-2012,95% Upper Confidence Limit,Years,72.87,Male,0 years,All,All
S12000049,2010-2012,Count,Years,72.58,Male,0 years,All,All
S12000049,2010-2012,95% Upper Confidence Limit,Years,78.75,Female,0 years,All,All
S12000049,2010-2012,95% Lower Confidence Limit,Years,72.29,Male,0 years,All,All
S12000049,2010-2012,95% Lower Confidence Limit,Years,78.19,Female,0 years,All,All
S12000050,2010-2012,95% Upper Confidence Limit,Years,79.4,Female,0 years,All,All
S12000050,2010-2012,95% Upper Confidence Limit,Years,75.27,Male,0 years,All,All
S12000050,2010-2012,Count,Years,74.88,Male,0 years,All,All
S12000050,2010-2012,95% Lower Confidence Limit,Years,78.71,Female,0 years,All,All
S12000050,2010-2012,Count,Years,79.06,Female,0 years,All,All
S12000050,2010-2012,95% Lower Confidence Limit,Years,74.49,Male,0 years,All,All
S12000039,2011-2013,95% Lower Confidence Limit,Years,78.42,Female,0 years,All,All
S12000039,2011-2013,95% Lower Confidence Limit,Years,73.4,Male,0 years,All,All
S12000039,2011-2013,Count,Years,74.15,Male,0 years,All,All
S12000039,2011-2013,95% Upper Confidence Limit,Years,79.75,Female,0 years,All,All
S12000039,2011-2013,95% Upper Confidence Limit,Years,74.89,Male,0 years,All,All
S12000039,2011-2013,Count,Years,79.08,Female,0 years,All,All
S12000040,2011-2013,Count,Years,80.14,Female,0 years,All,All
S12000040,2011-2013,95% Upper Confidence Limit,Years,80.64,Female,0 years,All,All
S12000040,2011-2013,95% Lower Confidence Limit,Years,76.9,Male,0 years,All,All
S12000040,2011-2013,Count,Years,77.43,Male,0 years,All,All
S12000040,2011-2013,95% Lower Confidence Limit,Years,79.65,Female,0 years,All,All
S12000040,2011-2013,95% Upper Confidence Limit,Years,77.96,Male,0 years,All,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,71.09,Male,0 years,1 - most deprived,All
S92000003,2011-2013,Count,Years,74.91,Male,0 years,2,All
S92000003,2011-2013,Count,Years,77.33,Male,0 years,3,All
S92000003,2011-2013,Count,Years,79.48,Male,0 years,4,All
S92000003,2011-2013,Count,Years,71.32,Male,0 years,1 - most deprived,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,71.54,Male,0 years,1 - most deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,76.71,Male,0 years,All,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,76.9,Male,0 years,All,All
S92000003,2011-2013,Count,Years,80.9,Female,0 years,All,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,74.69,Male,0 years,2,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,75.13,Male,0 years,2,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,81.7,Male,0 years,5 - least deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,81.29,Male,0 years,5 - least deprived,All
S92000003,2011-2013,Count,Years,81.5,Male,0 years,5 - least deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,79.28,Male,0 years,4,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,79.68,Male,0 years,4,All
S92000003,2011-2013,Count,Years,81.3,Female,0 years,3,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,77.39,Female,0 years,1 - most deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,83.77,Female,0 years,5 - least deprived,All
S92000003,2011-2013,Count,Years,82.69,Female,0 years,4,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,82.87,Female,0 years,4,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,76.98,Female,0 years,1 - most deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,80.81,Female,0 years,All,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,81.11,Female,0 years,3,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,79.76,Female,0 years,2,All
S92000003,2011-2013,Count,Years,79.56,Female,0 years,2,All
S92000003,2011-2013,Count,Years,77.19,Female,0 years,1 - most deprived,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,82.51,Female,0 years,4,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,77.53,Male,0 years,3,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,77.12,Male,0 years,3,All
S92000003,2011-2013,95% Lower Confidence Limit,Years,79.35,Female,0 years,2,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,81.5,Female,0 years,3,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,84.14,Female,0 years,5 - least deprived,All
S92000003,2011-2013,95% Upper Confidence Limit,Years,80.98,Female,0 years,All,All
S92000003,2011-2013,Count,Years,83.95,Female,0 years,5 - least deprived,All
S92000003,2011-2013,Count,Years,76.8,Male,0 years,All,All
S12000005,2011-2013,Count,Years,77,Male,0 years,All,All
S12000005,2011-2013,95% Upper Confidence Limit,Years,80.73,Female,0 years,All,All
S12000005,2011-2013,95% Upper Confidence Limit,Years,77.93,Male,0 years,All,All
S12000005,2011-2013,95% Lower Confidence Limit,Years,78.96,Female,0 years,All,All
S12000005,2011-2013,Count,Years,79.85,Female,0 years,All,All
S12000005,2011-2013,95% Lower Confidence Limit,Years,76.07,Male,0 years,All,All
S12000006,2011-2013,95% Lower Confidence Limit,Years,80.97,Female,0 years,All,All
S12000006,2011-2013,Count,Years,77.96,Male,0 years,All,All
S12000006,2011-2013,95% Upper Confidence Limit,Years,78.56,Male,0 years,All,All
S12000006,2011-2013,Count,Years,81.47,Female,0 years,All,All
S12000006,2011-2013,95% Upper Confidence Limit,Years,81.97,Female,0 years,All,All
S12000006,2011-2013,95% Lower Confidence Limit,Years,77.35,Male,0 years,All,All
S12000008,2011-2013,95% Upper Confidence Limit,Years,80.29,Female,0 years,All,All
S12000008,2011-2013,95% Upper Confidence Limit,Years,76.37,Male,0 years,All,All
S12000008,2011-2013,Count,Years,79.67,Female,0 years,All,All
S12000008,2011-2013,95% Lower Confidence Limit,Years,75.02,Male,0 years,All,All
S12000008,2011-2013,Count,Years,75.7,Male,0 years,All,All
S12000008,2011-2013,95% Lower Confidence Limit,Years,79.06,Female,0 years,All,All
S12000010,2011-2013,Count,Years,81.6,Female,0 years,All,All
S12000010,2011-2013,95% Upper Confidence Limit,Years,82.25,Female,0 years,All,All
S12000010,2011-2013,95% Lower Confidence Limit,Years,80.95,Female,0 years,All,All
S12000010,2011-2013,95% Upper Confidence Limit,Years,79.08,Male,0 years,All,All
S12000010,2011-2013,Count,Years,78.39,Male,0 years,All,All
S12000010,2011-2013,95% Lower Confidence Limit,Years,77.7,Male,0 years,All,All
S12000011,2011-2013,Count,Years,79.48,Male,0 years,All,All
S12000011,2011-2013,95% Lower Confidence Limit,Years,82.22,Female,0 years,All,All
S12000011,2011-2013,Count,Years,82.87,Female,0 years,All,All
S12000011,2011-2013,95% Upper Confidence Limit,Years,80.26,Male,0 years,All,All
S12000011,2011-2013,95% Lower Confidence Limit,Years,78.69,Male,0 years,All,All
S12000011,2011-2013,95% Upper Confidence Limit,Years,83.53,Female,0 years,All,All
S12000013,2011-2013,95% Upper Confidence Limit,Years,82,Female,0 years,All,All
S12000013,2011-2013,Count,Years,80.47,Female,0 years,All,All
S12000013,2011-2013,Count,Years,77.06,Male,0 years,All,All
S12000013,2011-2013,95% Lower Confidence Limit,Years,78.94,Female,0 years,All,All
S12000013,2011-2013,95% Upper Confidence Limit,Years,78.23,Male,0 years,All,All
S12000013,2011-2013,95% Lower Confidence Limit,Years,75.88,Male,0 years,All,All
S12000014,2011-2013,Count,Years,76.71,Male,0 years,All,All
S12000014,2011-2013,95% Upper Confidence Limit,Years,77.27,Male,0 years,All,All
S12000014,2011-2013,95% Lower Confidence Limit,Years,76.15,Male,0 years,All,All
S12000014,2011-2013,Count,Years,80.63,Female,0 years,All,All
S12000014,2011-2013,95% Upper Confidence Limit,Years,81.15,Female,0 years,All,All
S12000014,2011-2013,95% Lower Confidence Limit,Years,80.11,Female,0 years,All,All
S12000017,2011-2013,95% Lower Confidence Limit,Years,81.71,Female,0 years,All,All
S12000017,2011-2013,95% Lower Confidence Limit,Years,77.08,Male,0 years,All,All
S12000017,2011-2013,Count,Years,77.56,Male,0 years,All,All
S12000017,2011-2013,95% Upper Confidence Limit,Years,82.57,Female,0 years,All,All
S12000017,2011-2013,95% Upper Confidence Limit,Years,78.04,Male,0 years,All,All
S12000017,2011-2013,Count,Years,82.14,Female,0 years,All,All
S12000018,2011-2013,95% Upper Confidence Limit,Years,75.38,Male,0 years,All,All
S12000018,2011-2013,95% Lower Confidence Limit,Years,73.84,Male,0 years,All,All
S12000018,2011-2013,Count,Years,80.64,Female,0 years,All,All
S12000018,2011-2013,95% Upper Confidence Limit,Years,81.3,Female,0 years,All,All
S12000018,2011-2013,95% Lower Confidence Limit,Years,79.98,Female,0 years,All,All
S12000018,2011-2013,Count,Years,74.61,Male,0 years,All,All
S12000019,2011-2013,95% Lower Confidence Limit,Years,76.37,Male,0 years,All,All
S12000019,2011-2013,95% Lower Confidence Limit,Years,81.05,Female,0 years,All,All
S12000019,2011-2013,95% Upper Confidence Limit,Years,82.34,Female,0 years,All,All
S12000019,2011-2013,Count,Years,77.16,Male,0 years,All,All
S12000019,2011-2013,Count,Years,81.69,Female,0 years,All,All
S12000019,2011-2013,95% Upper Confidence Limit,Years,77.95,Male,0 years,All,All
S12000020,2011-2013,95% Lower Confidence Limit,Years,77.1,Male,0 years,All,All
S12000020,2011-2013,Count,Years,81.59,Female,0 years,All,All
S12000020,2011-2013,95% Upper Confidence Limit,Years,78.52,Male,0 years,All,All
S12000020,2011-2013,95% Upper Confidence Limit,Years,82.25,Female,0 years,All,All
S12000020,2011-2013,95% Lower Confidence Limit,Years,80.93,Female,0 years,All,All
S12000020,2011-2013,Count,Years,77.81,Male,0 years,All,All
S12000021,2011-2013,95% Upper Confidence Limit,Years,81.46,Female,0 years,All,All
S12000021,2011-2013,95% Upper Confidence Limit,Years,76.52,Male,0 years,All,All
S12000021,2011-2013,95% Lower Confidence Limit,Years,80.42,Female,0 years,All,All
S12000021,2011-2013,95% Lower Confidence Limit,Years,75.23,Male,0 years,All,All
S12000021,2011-2013,Count,Years,80.94,Female,0 years,All,All
S12000021,2011-2013,Count,Years,75.88,Male,0 years,All,All
S12000023,2011-2013,95% Upper Confidence Limit,Years,83.78,Female,0 years,All,All
S12000023,2011-2013,Count,Years,78.59,Male,0 years,All,All
S12000023,2011-2013,95% Lower Confidence Limit,Years,81.39,Female,0 years,All,All
S12000023,2011-2013,95% Lower Confidence Limit,Years,76.99,Male,0 years,All,All
S12000023,2011-2013,95% Upper Confidence Limit,Years,80.19,Male,0 years,All,All
S12000023,2011-2013,Count,Years,82.59,Female,0 years,All,All
S12000026,2011-2013,Count,Years,82.34,Female,0 years,All,All
S12000026,2011-2013,95% Upper Confidence Limit,Years,82.92,Female,0 years,All,All
S12000026,2011-2013,95% Lower Confidence Limit,Years,78.56,Male,0 years,All,All
S12000026,2011-2013,Count,Years,79.2,Male,0 years,All,All
S12000026,2011-2013,95% Lower Confidence Limit,Years,81.76,Female,0 years,All,All
S12000026,2011-2013,95% Upper Confidence Limit,Years,79.84,Male,0 years,All,All
S12000027,2011-2013,Count,Years,77.8,Male,0 years,All,All
S12000027,2011-2013,Count,Years,82.56,Female,0 years,All,All
S12000027,2011-2013,95% Upper Confidence Limit,Years,79.28,Male,0 years,All,All
S12000027,2011-2013,95% Lower Confidence Limit,Years,81.35,Female,0 years,All,All
S12000027,2011-2013,95% Lower Confidence Limit,Years,76.32,Male,0 years,All,All
S12000027,2011-2013,95% Upper Confidence Limit,Years,83.77,Female,0 years,All,All
S12000028,2011-2013,Count,Years,77.62,Male,0 years,All,All
S12000028,2011-2013,95% Lower Confidence Limit,Years,80.26,Female,0 years,All,All
S12000028,2011-2013,95% Lower Confidence Limit,Years,76.95,Male,0 years,All,All
S12000028,2011-2013,95% Upper Confidence Limit,Years,78.29,Male,0 years,All,All
S12000028,2011-2013,Count,Years,80.85,Female,0 years,All,All
S12000028,2011-2013,95% Upper Confidence Limit,Years,81.45,Female,0 years,All,All
S12000029,2011-2013,Count,Years,76.47,Male,0 years,All,All
S12000029,2011-2013,95% Upper Confidence Limit,Years,80.94,Female,0 years,All,All
S12000029,2011-2013,95% Lower Confidence Limit,Years,80.26,Female,0 years,All,All
S12000029,2011-2013,95% Upper Confidence Limit,Years,76.86,Male,0 years,All,All
S12000029,2011-2013,95% Lower Confidence Limit,Years,76.09,Male,0 years,All,All
S12000029,2011-2013,Count,Years,80.6,Female,0 years,All,All
S12000030,2011-2013,95% Upper Confidence Limit,Years,79.24,Male,0 years,All,All
S12000030,2011-2013,Count,Years,82.04,Female,0 years,All,All
S12000030,2011-2013,95% Lower Confidence Limit,Years,81.37,Female,0 years,All,All
S12000030,2011-2013,95% Upper Confidence Limit,Years,82.72,Female,0 years,All,All
S12000030,2011-2013,Count,Years,78.49,Male,0 years,All,All
S12000030,2011-2013,95% Lower Confidence Limit,Years,77.73,Male,0 years,All,All
S12000033,2011-2013,95% Upper Confidence Limit,Years,77.5,Male,0 years,All,All
S12000033,2011-2013,Count,Years,81.24,Female,0 years,All,All
S12000033,2011-2013,Count,Years,77.03,Male,0 years,All,All
S12000033,2011-2013,95% Lower Confidence Limit,Years,76.56,Male,0 years,All,All
S12000033,2011-2013,95% Upper Confidence Limit,Years,81.68,Female,0 years,All,All
S12000033,2011-2013,95% Lower Confidence Limit,Years,80.8,Female,0 years,All,All
S12000034,2011-2013,Count,Years,82.09,Female,0 years,All,All
S12000034,2011-2013,95% Lower Confidence Limit,Years,78.71,Male,0 years,All,All
S12000034,2011-2013,95% Lower Confidence Limit,Years,81.69,Female,0 years,All,All
S12000034,2011-2013,95% Upper Confidence Limit,Years,82.49,Female,0 years,All,All
S12000034,2011-2013,Count,Years,79.13,Male,0 years,All,All
S12000034,2011-2013,95% Upper Confidence Limit,Years,79.56,Male,0 years,All,All
S12000035,2011-2013,Count,Years,78.13,Male,0 years,All,All
S12000035,2011-2013,Count,Years,81.45,Female,0 years,All,All
S12000035,2011-2013,95% Lower Confidence Limit,Years,77.41,Male,0 years,All,All
S12000035,2011-2013,95% Lower Confidence Limit,Years,80.73,Female,0 years,All,All
S12000035,2011-2013,95% Upper Confidence Limit,Years,82.16,Female,0 years,All,All
S12000035,2011-2013,95% Upper Confidence Limit,Years,78.84,Male,0 years,All,All
S12000036,2011-2013,95% Upper Confidence Limit,Years,77.81,Male,0 years,All,All
S12000036,2011-2013,Count,Years,77.48,Male,0 years,All,All
S12000036,2011-2013,95% Lower Confidence Limit,Years,81.58,Female,0 years,All,All
S12000036,2011-2013,95% Upper Confidence Limit,Years,82.17,Female,0 years,All,All
S12000036,2011-2013,95% Lower Confidence Limit,Years,77.15,Male,0 years,All,All
S12000036,2011-2013,Count,Years,81.87,Female,0 years,All,All
S12000038,2011-2013,95% Upper Confidence Limit,Years,76.24,Male,0 years,All,All
S12000038,2011-2013,Count,Years,75.7,Male,0 years,All,All
S12000038,2011-2013,95% Upper Confidence Limit,Years,81.05,Female,0 years,All,All
S12000038,2011-2013,95% Lower Confidence Limit,Years,80.12,Female,0 years,All,All
S12000038,2011-2013,Count,Years,80.58,Female,0 years,All,All
S12000038,2011-2013,95% Lower Confidence Limit,Years,75.16,Male,0 years,All,All
S12000041,2011-2013,95% Upper Confidence Limit,Years,82.07,Female,0 years,All,All
S12000041,2011-2013,Count,Years,78.43,Male,0 years,All,All
S12000041,2011-2013,95% Upper Confidence Limit,Years,79.07,Male,0 years,All,All
S12000041,2011-2013,95% Lower Confidence Limit,Years,80.8,Female,0 years,All,All
S12000041,2011-2013,Count,Years,81.43,Female,0 years,All,All
S12000041,2011-2013,95% Lower Confidence Limit,Years,77.78,Male,0 years,All,All
S12000042,2011-2013,Count,Years,75.06,Male,0 years,All,All
S12000042,2011-2013,Count,Years,79.57,Female,0 years,All,All
S12000042,2011-2013,95% Upper Confidence Limit,Years,75.68,Male,0 years,All,All
S12000042,2011-2013,95% Lower Confidence Limit,Years,74.43,Male,0 years,All,All
S12000042,2011-2013,95% Upper Confidence Limit,Years,80.14,Female,0 years,All,All
S12000042,2011-2013,95% Lower Confidence Limit,Years,79.01,Female,0 years,All,All
S12000045,2011-2013,Count,Years,80.27,Male,0 years,All,All
S12000045,2011-2013,95% Lower Confidence Limit,Years,79.58,Male,0 years,All,All
S12000045,2011-2013,95% Upper Confidence Limit,Years,84.03,Female,0 years,All,All
S12000045,2011-2013,95% Upper Confidence Limit,Years,80.95,Male,0 years,All,All
S12000045,2011-2013,95% Lower Confidence Limit,Years,82.87,Female,0 years,All,All
S12000045,2011-2013,Count,Years,83.45,Female,0 years,All,All
S08000015,2011-2013,Count,Years,80.51,Female,0 years,All,All
S08000015,2011-2013,Count,Years,76.35,Male,0 years,All,All
S08000015,2011-2013,95% Lower Confidence Limit,Years,80.18,Female,0 years,All,All
S08000015,2011-2013,95% Upper Confidence Limit,Years,76.73,Male,0 years,All,All
S08000015,2011-2013,95% Lower Confidence Limit,Years,75.96,Male,0 years,All,All
S08000015,2011-2013,95% Upper Confidence Limit,Years,80.84,Female,0 years,All,All
S08000016,2011-2013,95% Lower Confidence Limit,Years,78.56,Male,0 years,All,All
S08000016,2011-2013,Count,Years,82.35,Female,0 years,All,All
S08000016,2011-2013,Count,Years,79.2,Male,0 years,All,All
S08000016,2011-2013,95% Lower Confidence Limit,Years,81.77,Female,0 years,All,All
S08000016,2011-2013,95% Upper Confidence Limit,Years,79.84,Male,0 years,All,All
S08000016,2011-2013,95% Upper Confidence Limit,Years,82.93,Female,0 years,All,All
S08000017,2011-2013,95% Upper Confidence Limit,Years,81.97,Female,0 years,All,All
S08000017,2011-2013,Count,Years,81.47,Female,0 years,All,All
S08000017,2011-2013,95% Lower Confidence Limit,Years,77.35,Male,0 years,All,All
S08000017,2011-2013,95% Upper Confidence Limit,Years,78.56,Male,0 years,All,All
S08000017,2011-2013,95% Lower Confidence Limit,Years,80.97,Female,0 years,All,All
S08000017,2011-2013,Count,Years,77.96,Male,0 years,All,All
S08000019,2011-2013,95% Lower Confidence Limit,Years,76.88,Male,0 years,All,All
S08000019,2011-2013,Count,Years,80.89,Female,0 years,All,All
S08000019,2011-2013,Count,Years,77.28,Male,0 years,All,All
S08000019,2011-2013,95% Lower Confidence Limit,Years,80.52,Female,0 years,All,All
S08000019,2011-2013,95% Upper Confidence Limit,Years,77.68,Male,0 years,All,All
S08000019,2011-2013,95% Upper Confidence Limit,Years,81.26,Female,0 years,All,All
S08000020,2011-2013,95% Lower Confidence Limit,Years,77.91,Male,0 years,All,All
S08000020,2011-2013,95% Lower Confidence Limit,Years,81.44,Female,0 years,All,All
S08000020,2011-2013,Count,Years,78.19,Male,0 years,All,All
S08000020,2011-2013,Count,Years,81.71,Female,0 years,All,All
S08000020,2011-2013,95% Upper Confidence Limit,Years,81.98,Female,0 years,All,All
S08000020,2011-2013,95% Upper Confidence Limit,Years,78.48,Male,0 years,All,All
S08000022,2011-2013,95% Upper Confidence Limit,Years,82.3,Female,0 years,All,All
S08000022,2011-2013,Count,Years,77.72,Male,0 years,All,All
S08000022,2011-2013,Count,Years,81.93,Female,0 years,All,All
S08000022,2011-2013,95% Lower Confidence Limit,Years,77.32,Male,0 years,All,All
S08000022,2011-2013,95% Upper Confidence Limit,Years,78.12,Male,0 years,All,All
S08000022,2011-2013,95% Lower Confidence Limit,Years,81.57,Female,0 years,All,All
S08000024,2011-2013,95% Upper Confidence Limit,Years,77.84,Male,0 years,All,All
S08000024,2011-2013,Count,Years,81.49,Female,0 years,All,All
S08000024,2011-2013,95% Lower Confidence Limit,Years,77.35,Male,0 years,All,All
S08000024,2011-2013,Count,Years,77.59,Male,0 years,All,All
S08000024,2011-2013,95% Upper Confidence Limit,Years,81.71,Female,0 years,All,All
S08000024,2011-2013,95% Lower Confidence Limit,Years,81.27,Female,0 years,All,All
S08000025,2011-2013,Count,Years,82.59,Female,0 years,All,All
S08000025,2011-2013,95% Upper Confidence Limit,Years,83.78,Female,0 years,All,All
S08000025,2011-2013,95% Lower Confidence Limit,Years,81.39,Female,0 years,All,All
S08000025,2011-2013,95% Upper Confidence Limit,Years,80.19,Male,0 years,All,All
S08000025,2011-2013,Count,Years,78.59,Male,0 years,All,All
S08000025,2011-2013,95% Lower Confidence Limit,Years,76.99,Male,0 years,All,All
S08000026,2011-2013,95% Lower Confidence Limit,Years,76.32,Male,0 years,All,All
S08000026,2011-2013,95% Lower Confidence Limit,Years,81.35,Female,0 years,All,All
S08000026,2011-2013,95% Upper Confidence Limit,Years,79.28,Male,0 years,All,All
S08000026,2011-2013,95% Upper Confidence Limit,Years,83.77,Female,0 years,All,All
S08000026,2011-2013,Count,Years,77.8,Male,0 years,All,All
S08000026,2011-2013,Count,Years,82.56,Female,0 years,All,All
S08000028,2011-2013,95% Upper Confidence Limit,Years,82,Female,0 years,All,All
S08000028,2011-2013,95% Lower Confidence Limit,Years,75.88,Male,0 years,All,All
S08000028,2011-2013,95% Lower Confidence Limit,Years,78.94,Female,0 years,All,All
S08000028,2011-2013,Count,Years,77.06,Male,0 years,All,All
S08000028,2011-2013,95% Upper Confidence Limit,Years,78.23,Male,0 years,All,All
S08000028,2011-2013,Count,Years,80.47,Female,0 years,All,All
S12000047,2011-2013,95% Upper Confidence Limit,Years,77.51,Male,0 years,All,All
S12000047,2011-2013,Count,Years,77.13,Male,0 years,All,All
S12000047,2011-2013,Count,Years,81.14,Female,0 years,All,All
S12000047,2011-2013,95% Upper Confidence Limit,Years,81.47,Female,0 years,All,All
S12000047,2011-2013,95% Lower Confidence Limit,Years,80.81,Female,0 years,All,All
S12000047,2011-2013,95% Lower Confidence Limit,Years,76.76,Male,0 years,All,All
S12000048,2011-2013,95% Upper Confidence Limit,Years,79.72,Male,0 years,All,All
S12000048,2011-2013,95% Upper Confidence Limit,Years,83.14,Female,0 years,All,All
S12000048,2011-2013,95% Lower Confidence Limit,Years,82.11,Female,0 years,All,All
S12000048,2011-2013,Count,Years,82.62,Female,0 years,All,All
S12000048,2011-2013,95% Lower Confidence Limit,Years,78.64,Male,0 years,All,All
S12000048,2011-2013,Count,Years,79.18,Male,0 years,All,All
S08000029,2011-2013,95% Lower Confidence Limit,Years,80.81,Female,0 years,All,All
S08000029,2011-2013,95% Lower Confidence Limit,Years,76.76,Male,0 years,All,All
S08000029,2011-2013,Count,Years,81.14,Female,0 years,All,All
S08000029,2011-2013,95% Upper Confidence Limit,Years,77.51,Male,0 years,All,All
S08000029,2011-2013,95% Upper Confidence Limit,Years,81.47,Female,0 years,All,All
S08000029,2011-2013,Count,Years,77.13,Male,0 years,All,All
S08000030,2011-2013,95% Lower Confidence Limit,Years,80.93,Female,0 years,All,All
S08000030,2011-2013,Count,Years,81.25,Female,0 years,All,All
S08000030,2011-2013,Count,Years,77.56,Male,0 years,All,All
S08000030,2011-2013,95% Upper Confidence Limit,Years,81.58,Female,0 years,All,All
S08000030,2011-2013,95% Lower Confidence Limit,Years,77.21,Male,0 years,All,All
S08000030,2011-2013,95% Upper Confidence Limit,Years,77.91,Male,0 years,All,All
S08000031,2011-2013,95% Lower Confidence Limit,Years,79.23,Female,0 years,All,All
S08000031,2011-2013,Count,Years,79.42,Female,0 years,All,All
S08000031,2011-2013,95% Upper Confidence Limit,Years,79.62,Female,0 years,All,All
S08000031,2011-2013,95% Upper Confidence Limit,Years,74.6,Male,0 years,All,All
S08000031,2011-2013,95% Lower Confidence Limit,Years,74.19,Male,0 years,All,All
S08000031,2011-2013,Count,Years,74.39,Male,0 years,All,All
S08000032,2011-2013,Count,Years,80.8,Female,0 years,All,All
S08000032,2011-2013,95% Upper Confidence Limit,Years,81.05,Female,0 years,All,All
S08000032,2011-2013,95% Upper Confidence Limit,Years,76.91,Male,0 years,All,All
S08000032,2011-2013,95% Lower Confidence Limit,Years,76.35,Male,0 years,All,All
S08000032,2011-2013,95% Lower Confidence Limit,Years,80.56,Female,0 years,All,All
S08000032,2011-2013,Count,Years,76.63,Male,0 years,All,All
S12000049,2011-2013,Count,Years,72.98,Male,0 years,All,All
S12000049,2011-2013,Count,Years,78.49,Female,0 years,All,All
S12000049,2011-2013,95% Lower Confidence Limit,Years,72.69,Male,0 years,All,All
S12000049,2011-2013,95% Lower Confidence Limit,Years,78.22,Female,0 years,All,All
S12000049,2011-2013,95% Upper Confidence Limit,Years,73.26,Male,0 years,All,All
S12000049,2011-2013,95% Upper Confidence Limit,Years,78.77,Female,0 years,All,All
S12000050,2011-2013,95% Lower Confidence Limit,Years,79.01,Female,0 years,All,All
S12000050,2011-2013,Count,Years,79.35,Female,0 years,All,All
S12000050,2011-2013,Count,Years,75.05,Male,0 years,All,All
S12000050,2011-2013,95% Upper Confidence Limit,Years,79.69,Female,0 years,All,All
S12000050,2011-2013,95% Upper Confidence Limit,Years,75.44,Male,0 years,All,All
S12000050,2011-2013,95% Lower Confidence Limit,Years,74.66,Male,0 years,All,All
S12000039,2012-2014,Count,Years,78.62,Female,0 years,All,All
S12000039,2012-2014,Count,Years,74.63,Male,0 years,All,All
S12000039,2012-2014,95% Upper Confidence Limit,Years,79.32,Female,0 years,All,All
S12000039,2012-2014,95% Upper Confidence Limit,Years,75.37,Male,0 years,All,All
S12000039,2012-2014,95% Lower Confidence Limit,Years,77.92,Female,0 years,All,All
S12000039,2012-2014,95% Lower Confidence Limit,Years,73.89,Male,0 years,All,All
S12000040,2012-2014,95% Upper Confidence Limit,Years,80.99,Female,0 years,All,All
S12000040,2012-2014,95% Upper Confidence Limit,Years,78.3,Male,0 years,All,All
S12000040,2012-2014,Count,Years,77.78,Male,0 years,All,All
S12000040,2012-2014,95% Lower Confidence Limit,Years,77.26,Male,0 years,All,All
S12000040,2012-2014,95% Lower Confidence Limit,Years,80.01,Female,0 years,All,All
S12000040,2012-2014,Count,Years,80.5,Female,0 years,All,All
S92000003,2012-2014,Count,Years,71.58,Male,0 years,1 - most deprived,All
S92000003,2012-2014,95% Upper Confidence Limit,Years,79.82,Male,0 years,4,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,75.09,Male,0 years,2,All
S92000003,2012-2014,95% Upper Confidence Limit,Years,71.81,Male,0 years,1 - most deprived,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,71.36,Male,0 years,1 - most deprived,All
S92000003,2012-2014,Count,Years,77.69,Male,0 years,3,All
S92000003,2012-2014,Count,Years,81.07,Female,0 years,All,All
S92000003,2012-2014,95% Upper Confidence Limit,Years,77.18,Male,0 years,All,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,76.99,Male,0 years,All,All
S92000003,2012-2014,Count,Years,81.71,Male,0 years,5 - least deprived,All
S92000003,2012-2014,95% Upper Confidence Limit,Years,75.52,Male,0 years,2,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,81.51,Male,0 years,5 - least deprived,All
S92000003,2012-2014,95% Upper Confidence Limit,Years,81.92,Male,0 years,5 - least deprived,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,79.42,Male,0 years,4,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,84.15,Female,0 years,5 - least deprived,All
S92000003,2012-2014,Count,Years,84.34,Female,0 years,5 - least deprived,All
S92000003,2012-2014,95% Lower Confidence Limit,Years,80.99,Female,0 years,All,All
