FeatureCode,DateCode,Measurement,Units,Value,Currently Smokes Cigarettes,Type Of Tenure,Household Type,Gender,Limiting Long-term Physical or Mental Health Condition,Age
S16000147,2016-2017,Percent,Percent Of Adults,26.5,Yes,All,All,All,All,All
S14000024,2012-2013,Percent,Percent Of Adults,13.8,Yes,All,All,All,All,All
S12000033,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.6,Yes,All,All,All,All,All
S13002680,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.5,Yes,All,All,All,All,All
S12000033,2014-2015,Percent,Percent Of Adults,22,Yes,All,All,All,All,All
S14000046,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.9,Yes,All,All,All,All,All
S12000021,2012-2013,Percent,Percent Of Adults,27.4,Yes,All,All,All,All,All
S14000043,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.7,Yes,All,All,All,All,All
S12000038,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.1,Yes,All,All,All,All,All
S12000034,2014-2017,Percent,Percent Of Adults,18,Yes,All,All,All,All,All
S16000109,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.5,Yes,All,All,All,All,All
S14000047,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,21,Yes,All,All,All,All,All
S14000049,2012-2013,Percent,Percent Of Adults,17.8,Yes,All,All,All,All,All
S13002559,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.9,Yes,All,All,All,All,All
S12000038,2018,Percent,Percent Of Adults,19.1,Yes,All,All,All,All,16-64 years
S12000047,2017,Percent,Percent Of Adults,20.5,Yes,All,All,All,All,16-64 years
S12000005,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,47.3,Yes,All,All,All,All,16-34 years
S12000045,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,0.4,Yes,All,All,All,All,16-34 years
S12000042,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.4,Yes,All,All,All,All,All
S12000019,2018,Percent,Percent Of Adults,19.2,Yes,All,All,All,All,16-64 years
S12000048,2018,Percent,Percent Of Adults,19.1,Yes,All,All,All,All,16-64 years
S08000031,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,25.6,Yes,All,All,All,All,16-64 years
S12000030,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.8,Yes,All,All,All,All,All
S12000029,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,26,Yes,All,All,All,All,All
S14000024,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.5,Yes,All,All,All,All,All
S13002727,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.2,Yes,All,All,All,All,All
S13002579,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,16.3,Yes,All,All,All,All,All
S12000028,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.6,Yes,All,All,All,All,16-34 years
S13002788,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.4,Yes,All,All,All,All,All
S13002766,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.2,Yes,All,All,All,All,All
S14000049,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.9,Yes,All,All,All,All,All
S13002547,2014-2017,Percent,Percent Of Adults,14.3,Yes,All,All,All,All,All
S12000033,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.9,Yes,All,All,All,All,All
S13002767,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.1,Yes,All,All,All,All,All
S13002778,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.1,Yes,All,All,All,All,All
S14000045,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.1,Yes,All,All,All,All,All
S13002765,2012-2015,Percent,Percent Of Adults,13.6,Yes,All,All,All,All,All
S14000048,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,30.7,Yes,All,All,All,All,All
S13002743,2012-2015,Percent,Percent Of Adults,12.7,Yes,All,All,All,All,All
S12000020,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.4,Yes,All,All,All,All,16-64 years
S12000014,2017,Percent,Percent Of Adults,14.6,Yes,All,All,All,All,16-64 years
S12000010,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.6,Yes,All,All,All,All,16-64 years
S08000032,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.7,Yes,All,All,All,All,All
S08000029,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.7,Yes,All,All,All,All,All
S12000008,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.7,Yes,All,All,All,All,16-64 years
S12000013,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.9,Yes,All,All,All,All,16-64 years
S08000032,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,30.2,Yes,All,All,All,All,16-64 years
S08000015,2016,Percent,Percent Of Adults,26.4,Yes,All,All,All,All,16-64 years
S08000026,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.8,Yes,All,All,All,All,16-34 years
S12000035,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,59.1,Yes,All,All,All,All,16-34 years
S13002719,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.6,Yes,All,All,All,All,All
S12000019,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.2,Yes,All,All,All,All,16-34 years
S12000038,2014,Percent,Percent Of Adults,22.6,Yes,All,All,All,All,16-34 years
S08000028,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.1,Yes,All,All,All,All,16-34 years
S12000010,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,46.5,Yes,All,All,All,All,16-34 years
S12000011,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.4,Yes,All,All,All,All,16-34 years
S16000115,2012-2013,Percent,Percent Of Adults,24,Yes,All,All,All,All,All
S12000036,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,18.5,Yes,All,All,All,All,All
S12000040,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,23.2,Yes,All,All,All,All,All
S12000008,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.2,Yes,All,All,All,All,16-64 years
S12000011,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.6,Yes,All,All,All,All,16-64 years
S16000115,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.5,Yes,All,All,All,All,All
S16000092,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.3,Yes,All,All,All,All,All
S13002718,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.6,Yes,All,All,All,All,All
S16000126,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.5,Yes,All,All,All,All,All
S12000035,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.4,Yes,All,All,All,All,16-64 years
S12000010,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.7,Yes,All,All,All,All,16-34 years
S12000017,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.4,Yes,All,All,All,All,16-64 years
S12000011,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.1,Yes,All,All,All,All,16-64 years
S12000006,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.8,Yes,All,All,All,All,16-64 years
S12000029,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.7,Yes,All,All,All,All,16-64 years
S12000036,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.8,Yes,All,All,All,All,16-34 years
S12000047,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,23.8,Yes,All,All,All,All,16-64 years
S12000036,2014-2015,Percent,Percent Of Adults,16.9,Yes,All,All,All,All,All
S16000135,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.2,Yes,All,All,All,All,All
S12000041,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.6,Yes,All,All,All,All,All
S13002813,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.1,Yes,All,All,All,All,All
S16000135,2012-2013,Percent,Percent Of Adults,18.6,Yes,All,All,All,All,All
S12000034,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.6,Yes,All,All,All,All,16-34 years
S13002826,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.3,Yes,All,All,All,All,All
S12000047,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,20.2,Yes,All,All,All,All,All
S12000035,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,34.5,Yes,All,All,All,All,16-34 years
S13002826,2012-2015,Percent,Percent Of Adults,25.8,Yes,All,All,All,All,All
S13002508,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,19.8,Yes,All,All,All,All,All
S08000016,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.5,Yes,All,All,All,All,16-64 years
S16000137,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.3,Yes,All,All,All,All,All
S12000030,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,18,Yes,All,All,All,All,All
S12000045,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.1,Yes,All,All,All,All,All
S13002685,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,23.2,Yes,All,All,All,All,All
S16000137,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,17,Yes,All,All,All,All,All
S13002801,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.6,Yes,All,All,All,All,All
S08000026,2018,Percent,Percent Of Adults,9.2,Yes,All,All,All,All,All
S08000030,2018,Percent,Percent Of Adults,19.8,Yes,All,All,All,All,All
S13002685,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,35.2,Yes,All,All,All,All,All
S14000016,2014-2015,Percent,Percent Of Adults,27.3,Yes,All,All,All,All,All
S13002683,2012-2015,Percent,Percent Of Adults,22.4,Yes,All,All,All,All,All
S13002730,2014-2017,Percent,Percent Of Adults,29.1,Yes,All,All,All,All,All
S08000030,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.5,Yes,All,All,All,All,All
S13002721,2012-2015,Percent,Percent Of Adults,23.5,Yes,All,All,All,All,All
S12000036,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.3,Yes,All,All,All,All,All
S13002800,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,29,Yes,All,All,All,All,All
S12000028,2015,Percent,Percent Of Adults,26.1,Yes,All,All,All,All,16-34 years
S12000041,2014-2015,Percent,Percent Of Adults,19.8,Yes,All,All,All,All,All
S13002714,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.9,Yes,All,All,All,All,All
S13002682,2012-2015,Percent,Percent Of Adults,17.2,Yes,All,All,All,All,All
S16000128,2016-2017,Percent,Percent Of Adults,17.7,Yes,All,All,All,All,All
S13002689,2014-2017,Percent,Percent Of Adults,15,Yes,All,All,All,All,All
S12000041,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.6,Yes,All,All,All,All,16-64 years
S12000038,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.9,Yes,All,All,All,All,16-34 years
S14000021,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,16,Yes,All,All,All,All,All
S12000010,2016,Percent,Percent Of Adults,28.8,Yes,All,All,All,All,16-34 years
S12000036,2016,Percent,Percent Of Adults,19.9,Yes,All,All,All,All,16-34 years
S12000019,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.1,Yes,All,All,All,All,All
S13002752,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,34.4,Yes,All,All,All,All,All
S12000042,2012-2013,Percent,Percent Of Adults,26.2,Yes,All,All,All,All,All
S12000029,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.5,Yes,All,All,All,All,All
S12000020,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,41.8,Yes,All,All,All,All,16-34 years
S12000036,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,24,Yes,All,All,All,All,16-34 years
S12000023,2016,Percent,Percent Of Adults,30.5,Yes,All,All,All,All,16-34 years
S12000008,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.1,Yes,All,All,All,All,16-34 years
S12000038,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.2,Yes,All,All,All,All,16-34 years
S12000029,2014,Percent,Percent Of Adults,32,Yes,All,All,All,All,16-34 years
S12000018,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.9,Yes,All,All,All,All,16-34 years
S12000028,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,36.9,Yes,All,All,All,All,16-34 years
S12000028,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.4,Yes,All,All,All,All,16-64 years
S12000045,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,17.8,Yes,All,All,All,All,16-64 years
S12000047,2012,Percent,Percent Of Adults,27.2,Yes,All,All,All,All,16-64 years
S13002779,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.3,Yes,All,All,All,All,All
S12000030,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,16.4,Yes,All,All,All,All,All
S12000048,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,7.3,Yes,All,All,All,All,16-64 years
S12000042,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18,Yes,All,All,All,All,16-64 years
S12000047,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.3,Yes,All,All,All,All,16-64 years
S08000030,2014,Percent,Percent Of Adults,24.7,Yes,All,All,All,All,16-64 years
S14000049,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,14,Yes,All,All,All,All,All
S12000045,2012-2013,Percent,Percent Of Adults,11.3,Yes,All,All,All,All,All
S12000023,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.6,Yes,All,All,All,All,All
S14000056,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,22.7,Yes,All,All,All,All,All
S12000021,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.2,Yes,All,All,All,All,All
S12000026,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,14,Yes,All,All,All,All,16-64 years
S14000055,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.5,Yes,All,All,All,All,All
S12000034,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.4,Yes,All,All,All,All,All
S12000047,2014,Percent,Percent Of Adults,22.9,Yes,All,All,All,All,16-64 years
S12000035,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.8,Yes,All,All,All,All,16-64 years
S13002789,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.1,Yes,All,All,All,All,All
S12000042,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.5,Yes,All,All,All,All,All
S16000134,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,19,Yes,All,All,All,All,All
S12000045,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.6,Yes,All,All,All,All,16-64 years
S12000028,2017,Percent,Percent Of Adults,17.5,Yes,All,All,All,All,16-64 years
S12000047,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.3,Yes,All,All,All,All,16-64 years
S14000057,2012-2013,Percent,Percent Of Adults,19.6,Yes,All,All,All,All,All
S16000130,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.9,Yes,All,All,All,All,All
S12000018,2018,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.3,Yes,All,All,All,All,16-64 years
S13002717,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,21.1,Yes,All,All,All,All,All
S16000134,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.3,Yes,All,All,All,All,All
S13002718,2012-2015,Percent,Percent Of Adults,32,Yes,All,All,All,All,All
S16000129,2012-2013,Percent,Percent Of Adults,24.1,Yes,All,All,All,All,All
S12000010,2017,Percent,Percent Of Adults,21.2,Yes,All,All,All,All,16-64 years
S13002690,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.9,Yes,All,All,All,All,All
S12000010,2013,Percent,Percent Of Adults,25.9,Yes,All,All,All,All,16-34 years
S12000040,2012,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.9,Yes,All,All,All,All,16-34 years
S12000045,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,13.9,Yes,All,All,All,All,All
S12000045,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,14,Yes,All,All,All,All,All
S12000041,2015,Percent,Percent Of Adults,23,Yes,All,All,All,All,16-34 years
S12000014,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.7,Yes,All,All,All,All,16-34 years
S08000030,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.9,Yes,All,All,All,All,16-34 years
S12000028,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.7,Yes,All,All,All,All,16-34 years
S14000021,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,10.1,Yes,All,All,All,All,All
S12000034,2018,Percent,Percent Of Adults,19.1,Yes,All,All,All,All,16-64 years
S14000049,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.7,Yes,All,All,All,All,All
S08000031,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.5,Yes,All,All,All,All,16-64 years
S16000074,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.3,Yes,All,All,All,All,All
S13002779,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.2,Yes,All,All,All,All,All
S12000018,2017,Percent,Percent Of Adults,17.2,Yes,All,All,All,All,16-64 years
S13002786,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.9,Yes,All,All,All,All,All
S12000029,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,24.1,Yes,All,All,All,All,16-34 years
S13002668,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.2,Yes,All,All,All,All,All
S12000028,2016,Percent,Percent Of Adults,28.8,Yes,All,All,All,All,16-34 years
S16000148,2012-2013,Percent,Percent Of Adults,12.4,Yes,All,All,All,All,All
S14000014,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.8,Yes,All,All,All,All,All
S08000028,2016,"95% Upper Confidence Limit, Percent",Percent Of Adults,39.5,Yes,All,All,All,All,16-34 years
S12000047,2016,Percent,Percent Of Adults,24.5,Yes,All,All,All,All,16-34 years
S12000049,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.7,Yes,All,All,All,All,16-34 years
S12000036,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.3,Yes,All,All,All,All,16-34 years
S14000003,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.5,Yes,All,All,All,All,All
S16000138,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.4,Yes,All,All,All,All,All
S14000009,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.2,Yes,All,All,All,All,All
S13002821,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.2,Yes,All,All,All,All,All
S13002684,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.8,Yes,All,All,All,All,All
S12000039,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.3,Yes,All,All,All,All,All
S14000015,2016-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.4,Yes,All,All,All,All,All
S12000047,2015,Percent,Percent Of Adults,22,Yes,All,All,All,All,All
S12000027,2017,Percent,Percent Of Adults,26.2,Yes,All,All,All,All,16-64 years
S12000040,2016,Percent,Percent Of Adults,19.3,Yes,All,All,All,All,16-34 years
S13002697,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.6,Yes,All,All,All,All,All
S92000003,2018,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.9,Yes,All,All,All,All,16-64 years
S12000038,2015,Percent,Percent Of Adults,26.3,Yes,All,All,All,All,16-34 years
S13002695,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.8,Yes,All,All,All,All,All
S12000026,2014,Percent,Percent Of Adults,15.5,Yes,All,All,All,All,16-34 years
S14000008,2016-2017,Percent,Percent Of Adults,17.3,Yes,All,All,All,All,All
S13002700,2014-2017,Percent,Percent Of Adults,20.4,Yes,All,All,All,All,All
S12000041,2014,"95% Lower Confidence Limit, Percent",Percent Of Adults,12.1,Yes,All,All,All,All,16-34 years
S12000029,2014,"95% Upper Confidence Limit, Percent",Percent Of Adults,39.9,Yes,All,All,All,All,16-34 years
S12000038,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.2,Yes,All,All,All,All,16-34 years
S12000006,2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,23.3,Yes,All,All,All,All,16-34 years
S12000014,2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,33.3,Yes,All,All,All,All,16-34 years
S12000039,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,51.7,Yes,All,All,All,All,16-34 years
S12000030,2012,"95% Upper Confidence Limit, Percent",Percent Of Adults,38,Yes,All,All,All,All,16-34 years
S13002753,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,26.6,Yes,All,All,All,All,All
S12000011,2014-2015,Percent,Percent Of Adults,14.1,Yes,All,All,All,All,All
S12000014,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.6,Yes,All,All,All,All,All
S12000019,2017,Percent,Percent Of Adults,22.7,Yes,All,All,All,All,16-64 years
S13002822,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.2,Yes,All,All,All,All,All
S16000136,2012-2013,Percent,Percent Of Adults,30.1,Yes,All,All,All,All,All
S12000026,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.3,Yes,All,All,All,All,16-64 years
S13002685,2012-2015,Percent,Percent Of Adults,29.2,Yes,All,All,All,All,All
S08000030,2013,Percent,Percent Of Adults,24.6,Yes,All,All,All,All,16-64 years
S12000021,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.3,Yes,All,All,All,All,16-64 years
S14000057,2014-2015,Percent,Percent Of Adults,15.1,Yes,All,All,All,All,All
S14000025,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.3,Yes,All,All,All,All,All
S92000003,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.5,Yes,All,All,All,All,All
S12000027,2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,9.5,Yes,All,All,All,All,16-34 years
S13002718,2014-2017,Percent,Percent Of Adults,23,Yes,All,All,All,All,All
S13002678,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.7,Yes,All,All,All,All,All
S12000047,2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.1,Yes,All,All,All,All,All
S13002717,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,28.8,Yes,All,All,All,All,All
S12000021,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.5,Yes,All,All,All,All,All
S12000030,2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,13.5,Yes,All,All,All,All,16-34 years
S13002814,2014-2017,Percent,Percent Of Adults,24.9,Yes,All,All,All,All,All
S13002679,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,31.2,Yes,All,All,All,All,All
S13002677,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,27.5,Yes,All,All,All,All,All
S13002699,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,25.7,Yes,All,All,All,All,All
S14000007,2016-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,17.4,Yes,All,All,All,All,All
S13002695,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,19.2,Yes,All,All,All,All,All
S13002820,2014-2017,Percent,Percent Of Adults,9.4,Yes,All,All,All,All,All
S13002723,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.1,Yes,All,All,All,All,All
S13002686,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,21.9,Yes,All,All,All,All,All
S14000027,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,20,Yes,All,All,All,All,All
S14000026,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,20,Yes,All,All,All,All,All
S14000031,2014-2015,Percent,Percent Of Adults,19.3,Yes,All,All,All,All,All
S12000028,2016,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.6,Yes,All,All,All,All,16-34 years
S13002684,2012-2015,Percent,Percent Of Adults,26,Yes,All,All,All,All,All
S12000050,2013,Percent,Percent Of Adults,28.4,Yes,All,All,All,All,16-34 years
S14000050,2014-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,16.9,Yes,All,All,All,All,All
S14000027,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.9,Yes,All,All,All,All,All
S14000051,2014-2015,Percent,Percent Of Adults,17.8,Yes,All,All,All,All,All
S12000010,2012-2013,Percent,Percent Of Adults,23.7,Yes,All,All,All,All,All
S12000039,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,32.4,Yes,All,All,All,All,All
S12000019,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,26.3,Yes,All,All,All,All,All
S13002788,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,14.6,Yes,All,All,All,All,All
S12000014,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.8,Yes,All,All,All,All,All
S14000051,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,20.4,Yes,All,All,All,All,All
S13002744,2012-2015,Percent,Percent Of Adults,15.9,Yes,All,All,All,All,All
S13002785,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.8,Yes,All,All,All,All,All
S12000023,2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,24.9,Yes,All,All,All,All,All
S13002762,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,11.3,Yes,All,All,All,All,All
S14000051,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,21.8,Yes,All,All,All,All,All
S13002703,2014-2017,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.3,Yes,All,All,All,All,All
S14000028,2012-2013,"95% Upper Confidence Limit, Percent",Percent Of Adults,22.5,Yes,All,All,All,All,All
S12000038,2012-2013,Percent,Percent Of Adults,26.1,Yes,All,All,All,All,All
S13002743,2012-2015,"95% Lower Confidence Limit, Percent",Percent Of Adults,6.5,Yes,All,All,All,All,All
S12000019,2012-2013,Percent,Percent Of Adults,22.2,Yes,All,All,All,All,All
S13002788,2014-2017,Percent,Percent Of Adults,21.5,Yes,All,All,All,All,All
S12000020,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,18.1,Yes,All,All,All,All,All
S13002721,2014-2017,"95% Lower Confidence Limit, Percent",Percent Of Adults,15.3,Yes,All,All,All,All,All
S13002784,2014-2017,Percent,Percent Of Adults,20,Yes,All,All,All,All,All
S14000003,2014-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,29.1,Yes,All,All,All,All,All
S12000045,2012-2013,"95% Lower Confidence Limit, Percent",Percent Of Adults,8.8,Yes,All,All,All,All,All
S13002743,2012-2015,"95% Upper Confidence Limit, Percent",Percent Of Adults,19,Yes,All,All,All,All,All
